27029*2^200320-1 is not prime.  LLR Res64: CCEE650250A3F518  Time : 38.725 sec.
16447*2^200321-1 is not prime.  LLR Res64: B4B97A9A19BB5867  Time : 38.757 sec.
22537*2^200321-1 is not prime.  LLR Res64: 3244E4C95457F63B  Time : 38.693 sec.
33937*2^200321-1 is not prime.  LLR Res64: 5CC41B50F4D1F877  Time : 38.741 sec.
24161*2^200322-1 is not prime.  LLR Res64: F3C4E89CFB79D3BC  Time : 38.786 sec.
29983*2^200323-1 is not prime.  LLR Res64: E257C794D42F57B0  Time : 38.742 sec.
20651*2^200326-1 is not prime.  LLR Res64: D582EA29FC7E1665  Time : 38.776 sec.
25061*2^200326-1 is not prime.  LLR Res64: ABD1D3FEA0BDA023  Time : 38.753 sec.
17467*2^200329-1 is not prime.  LLR Res64: 38058C3A23E99CCA  Time : 38.753 sec.
20591*2^200330-1 is not prime.  LLR Res64: 4AFCBA1FB7D11A10  Time : 38.729 sec.
24161*2^200330-1 is not prime.  LLR Res64: 6A352F95F5F5073E  Time : 38.719 sec.
28723*2^200331-1 is not prime.  LLR Res64: 09577BCA3F53B892  Time : 38.747 sec.
19117*2^200333-1 is not prime.  LLR Res64: 7789630E8B3CA8D4  Time : 38.799 sec.
30337*2^200333-1 is not prime.  LLR Res64: 20202AF5DE0ED82D  Time : 38.729 sec.
18103*2^200335-1 is not prime.  LLR Res64: 0D4E54351D9C015E  Time : 38.723 sec.
27899*2^200336-1 is not prime.  LLR Res64: 7D78CBE5651CCB88  Time : 38.726 sec.
28177*2^200337-1 is not prime.  LLR Res64: 013543561B86DEF4  Time : 38.874 sec.
29677*2^200337-1 is not prime.  LLR Res64: 2457349793391BC8  Time : 38.763 sec.
22927*2^200341-1 is not prime.  LLR Res64: 1CCA7F6EB21FC181  Time : 38.729 sec.
27913*2^200343-1 is not prime.  LLR Res64: 85A437A2F0808515  Time : 38.808 sec.
31453*2^200343-1 is not prime.  LLR Res64: ED322C79699F3ECC  Time : 39.040 sec.
25559*2^200344-1 is not prime.  LLR Res64: 17FB5A89F60CEE33  Time : 38.909 sec.
28571*2^200346-1 is not prime.  LLR Res64: 04BA842BAACCD862  Time : 38.895 sec.
24523*2^200347-1 is not prime.  LLR Res64: 42EC618003BFC07A  Time : 38.702 sec.
32639*2^200352-1 is not prime.  LLR Res64: 43CDE95F38214648  Time : 38.641 sec.
18103*2^200359-1 is not prime.  LLR Res64: 42DBADDDE8EFC5C2  Time : 38.692 sec.
27133*2^200359-1 is not prime.  LLR Res64: 61E3321B697E3285  Time : 38.650 sec.
20017*2^200361-1 is not prime.  LLR Res64: 4A5C60B4A53B4D96  Time : 38.767 sec.
20939*2^200364-1 is not prime.  LLR Res64: BF42EC07B428D545  Time : 38.689 sec.
20381*2^200370-1 is not prime.  LLR Res64: 3B6192F6EB38A228  Time : 38.657 sec.
33419*2^200372-1 is not prime.  LLR Res64: 508BACB46D3852BD  Time : 38.945 sec.
19117*2^200373-1 is not prime.  LLR Res64: 7042F841171BF5E8  Time : 38.767 sec.
18209*2^200376-1 is not prime.  LLR Res64: FAEB3CF59DA28127  Time : 38.762 sec.
31627*2^200377-1 is not prime.  LLR Res64: 9C4991B395BEA2E4  Time : 38.667 sec.
27913*2^200379-1 is not prime.  LLR Res64: 21D8440E143D31C5  Time : 38.711 sec.
30337*2^200381-1 is not prime.  LLR Res64: CFCB5BCF6C33BF23  Time : 38.705 sec.
28571*2^200382-1 is not prime.  LLR Res64: 85F7D0278756DE2E  Time : 38.793 sec.
29983*2^200383-1 is not prime.  LLR Res64: ADC34563D0A72A1F  Time : 38.766 sec.
31873*2^200383-1 is not prime.  LLR Res64: F4F4DDB0AFCA760B  Time : 38.728 sec.
32383*2^200383-1 is not prime.  LLR Res64: D9C672A05AF722F9  Time : 38.711 sec.
18727*2^200385-1 is not prime.  LLR Res64: 67B85205AE9DCE51  Time : 38.730 sec.
19507*2^200385-1 is not prime.  LLR Res64: A10637DA76801A69  Time : 38.718 sec.
22453*2^200391-1 is not prime.  LLR Res64: D3604366AF185743  Time : 38.704 sec.
31109*2^200392-1 is not prime.  LLR Res64: 0CD925D024D624D3  Time : 38.794 sec.
22537*2^200393-1 is not prime.  LLR Res64: 534DBD9A7AC373A5  Time : 38.728 sec.
33937*2^200393-1 is not prime.  LLR Res64: A622ED1F977DEB1C  Time : 38.704 sec.
15997*2^200397-1 is not prime.  LLR Res64: E11D57A333F479B8  Time : 38.746 sec.
17467*2^200401-1 is not prime.  LLR Res64: D188A5007A98145E  Time : 38.756 sec.
28781*2^200402-1 is not prime.  LLR Res64: B9D8F3AD00DCF92C  Time : 38.800 sec.
