19507*2^150209-1 is not prime.  LLR Res64: 07F817C77B8D0BD4  Time : 24.057 sec.
20017*2^150209-1 is not prime.  LLR Res64: 4FFEE00E73394F66  Time : 24.421 sec.
17021*2^150210-1 is not prime.  LLR Res64: C39D3683E3AF7DFF  Time : 24.175 sec.
24523*2^150211-1 is not prime.  LLR Res64: AC3D80A9B29D12C8  Time : 24.129 sec.
32377*2^150213-1 is not prime.  LLR Res64: 92EA235DADB463AD  Time : 24.262 sec.
28781*2^150218-1 is not prime.  LLR Res64: D8CDCBE8BCF801AA  Time : 29.009 sec.
33373*2^150219-1 is not prime.  LLR Res64: 5AEB4CB9AC02807A  Time : 24.138 sec.
32887*2^150221-1 is not prime.  LLR Res64: 2C89E9152834DA3D  Time : 24.207 sec.
33937*2^150221-1 is not prime.  LLR Res64: EC3EDA2B8F5601C6  Time : 26.918 sec.
28177*2^150225-1 is not prime.  LLR Res64: 6F0AA5657B77F445  Time : 24.243 sec.
19121*2^150230-1 is not prime.  LLR Res64: 7006CFB5A2D7BF4D  Time : 24.128 sec.
24221*2^150230-1 is not prime.  LLR Res64: 3C12A9C03E1A0055  Time : 24.166 sec.
24217*2^150237-1 is not prime.  LLR Res64: 6C6B878FF5F9EBCD  Time : 24.098 sec.
32639*2^150240-1 is not prime.  LLR Res64: B8566412EFA48BB3  Time : 24.015 sec.
24161*2^150242-1 is not prime.  LLR Res64: 2D83AA490479BB7C  Time : 24.026 sec.
33457*2^150245-1 is not prime.  LLR Res64: 342C964187C11C65  Time : 24.003 sec.
21793*2^150247-1 is not prime.  LLR Res64: 9C41FA22C9518854  Time : 24.193 sec.
17113*2^150251-1 is not prime.  LLR Res64: 6E741F3CD74B25E6  Time : 24.025 sec.
30283*2^150251-1 is not prime.  LLR Res64: 8B4D900571A37B6E  Time : 24.008 sec.
20939*2^150252-1 is not prime.  LLR Res64: 45A91B4D9107936D  Time : 24.014 sec.
22927*2^150253-1 is not prime.  LLR Res64: F9954327F8473E1B  Time : 24.031 sec.
32789*2^150256-1 is not prime.  LLR Res64: 2A60BBC9EABEAEC2  Time : 23.990 sec.
27997*2^150257-1 is not prime.  LLR Res64: 67B9168E59A6026E  Time : 23.958 sec.
21643*2^150259-1 is not prime.  LLR Res64: 7F1962BDAF9B649C  Time : 24.013 sec.
27133*2^150259-1 is not prime.  LLR Res64: E150988FB4BC8685  Time : 24.003 sec.
31333*2^150259-1 is not prime.  LLR Res64: A6F47084C08C85F8  Time : 23.992 sec.
19117*2^150261-1 is not prime.  LLR Res64: ACE11A803E8836CB  Time : 23.995 sec.
21643*2^150275-1 is not prime.  LLR Res64: C00041F793490073  Time : 24.021 sec.
15043*2^150279-1 is not prime.  LLR Res64: D573156EC398D765  Time : 24.197 sec.
16573*2^150279-1 is not prime.  LLR Res64: 1F99CEF53961E956  Time : 24.088 sec.
32789*2^150280-1 is not prime.  LLR Res64: D0A771470598F822  Time : 24.046 sec.
20381*2^150282-1 is not prime.  LLR Res64: DC49CB2A1C3F298C  Time : 24.047 sec.
24161*2^150282-1 is not prime.  LLR Res64: 367DB27F801476D3  Time : 24.031 sec.
32377*2^150285-1 is not prime.  LLR Res64: 48CF8CFC31A2E017  Time : 23.989 sec.
30283*2^150287-1 is not prime.  LLR Res64: 0CEE8B46354C488A  Time : 23.966 sec.
17467*2^150289-1 is not prime.  LLR Res64: BD5C1ADBB67C9DB6  Time : 23.995 sec.
24161*2^150290-1 is not prime.  LLR Res64: D27DFCDF817A2054  Time : 24.174 sec.
25183*2^150291-1 is not prime.  LLR Res64: 0D895CF353D1665F  Time : 23.969 sec.
33373*2^150291-1 is not prime.  LLR Res64: 6D1716C866F90261  Time : 24.040 sec.
30337*2^150293-1 is not prime.  LLR Res64: 9BF809F906C6C187  Time : 24.086 sec.
33937*2^150293-1 is not prime.  LLR Res64: D8F2EFCD77BCA6A3  Time : 24.049 sec.
31873*2^150295-1 is not prime.  LLR Res64: 1C872227DF2E1061  Time : 23.987 sec.
27899*2^150296-1 is not prime.  LLR Res64: 3AA0159B2D740741  Time : 24.066 sec.
20651*2^150302-1 is not prime.  LLR Res64: 0857CF102020CDA0  Time : 24.124 sec.
17369*2^150304-1 is not prime.  LLR Res64: B977E23D72C02D0F  Time : 24.008 sec.
17021*2^150306-1 is not prime.  LLR Res64: E0014E4993934B7E  Time : 23.999 sec.
28571*2^150306-1 is not prime.  LLR Res64: 1AEF544555C16531  Time : 24.015 sec.
15373*2^150307-1 is not prime.  LLR Res64: 9CF8631B88C0EEF3  Time : 24.008 sec.
16573*2^150311-1 is not prime.  LLR Res64: 7DC9FA4A93DB658D  Time : 5914.790 sec.
18869*2^150312-1 is not prime.  LLR Res64: 8C5A5E0FBD6CD79F  Time : 24.001 sec.
32639*2^150312-1 is not prime.  LLR Res64: 0102C1FF8F4AE4F2  Time : 24.019 sec.
28177*2^150313-1 is not prime.  LLR Res64: C55AE64AECF8B049  Time : 24.017 sec.
31627*2^150313-1 is not prime.  LLR Res64: 61C87F2F34C2303D  Time : 24.001 sec.
19117*2^150317-1 is not prime.  LLR Res64: 513A38FCE3D1D080  Time : 24.044 sec.
30283*2^150323-1 is not prime.  LLR Res64: EF01C3D3F074F628  Time : 24.082 sec.
30839*2^150324-1 is not prime.  LLR Res64: 376D30FFF7A98E8E  Time : 24.146 sec.
19121*2^150326-1 is not prime.  LLR Res64: F10843B57DD16F79  Time : 24.126 sec.
22691*2^150326-1 is not prime.  LLR Res64: 4AC8EF2D12EFEB47  Time : 24.052 sec.
25183*2^150327-1 is not prime.  LLR Res64: 75629072164538BA  Time : 24.100 sec.
34183*2^150327-1 is not prime.  LLR Res64: CB505000DA5DA4F8  Time : 24.000 sec.
20017*2^150329-1 is not prime.  LLR Res64: 6A7BE8414FA74BF5  Time : 24.050 sec.
33457*2^150329-1 is not prime.  LLR Res64: 6A7E3C1CEBAED9AC  Time : 24.090 sec.
23711*2^150334-1 is not prime.  LLR Res64: 22123E9009F278A2  Time : 24.116 sec.
20143*2^150335-1 is not prime.  LLR Res64: CC374CFF50CFE859  Time : 24.023 sec.
17977*2^150337-1 is not prime.  LLR Res64: 745ADCFD2CF06A45  Time : 24.144 sec.
25183*2^150339-1 is not prime.  LLR Res64: F01C8D89D6225378  Time : 24.139 sec.
25559*2^150340-1 is not prime.  LLR Res64: C37528F1BB6FB9FF  Time : 24.144 sec.
20381*2^150342-1 is not prime.  LLR Res64: 7E651CF532ED003A  Time : 24.082 sec.
21793*2^150343-1 is not prime.  LLR Res64: C692A15B8491330E  Time : 23.999 sec.
31873*2^150343-1 is not prime.  LLR Res64: 7325F3F159264109  Time : 24.235 sec.
18869*2^150344-1 is not prime.  LLR Res64: 19E4FF20FFF5A100  Time : 24.146 sec.
32639*2^150344-1 is not prime.  LLR Res64: 6A7B692D28669C93  Time : 24.086 sec.
31333*2^150347-1 is not prime.  LLR Res64: D253DADB0315C9D8  Time : 24.129 sec.
24221*2^150350-1 is not prime.  LLR Res64: 563EB999F75DAF7B  Time : 24.070 sec.
20399*2^150352-1 is not prime.  LLR Res64: E5F28AC3DDFACE1A  Time : 24.048 sec.
30059*2^150352-1 is not prime.  LLR Res64: 319B9F960F39B09D  Time : 24.097 sec.
33937*2^150353-1 is not prime.  LLR Res64: 225AC269961FDFEE  Time : 23.993 sec.
17977*2^150361-1 is not prime.  LLR Res64: F069D81F6F5D427A  Time : 24.024 sec.
22927*2^150361-1 is not prime.  LLR Res64: 11A1D99CD634C281  Time : 24.078 sec.
24599*2^150364-1 is not prime.  LLR Res64: 8914FA1AD7B1D093  Time : 24.047 sec.
25747*2^150365-1 is not prime.  LLR Res64: 1B39FC06163891D3  Time : 24.047 sec.
27997*2^150365-1 is not prime.  LLR Res64: BA4F9527CBA2BBEF  Time : 24.003 sec.
31109*2^150368-1 is not prime.  LLR Res64: DD4909BFFBC6F880  Time : 24.158 sec.
18727*2^150369-1 is not prime.  LLR Res64: 2CA625C82C588E83  Time : 24.068 sec.
20017*2^150369-1 is not prime.  LLR Res64: 0A18FC640A17A155  Time : 24.004 sec.
25061*2^150370-1 is not prime.  LLR Res64: B088085D2DC22D6C  Time : 23.992 sec.
31453*2^150375-1 is not prime.  LLR Res64: 9A302F37F5169E34  Time : 23.978 sec.
34297*2^150377-1 is not prime.  LLR Res64: 65AF828C368E1EE1  Time : 24.056 sec.
27029*2^150384-1 is not prime.  LLR Res64: 1E8AB6843271B11E  Time : 23.988 sec.
27133*2^150391-1 is not prime.  LLR Res64: 34BD0A198406881D  Time : 24.028 sec.
31109*2^150392-1 is not prime.  LLR Res64: 8DB417970B9F6D1A  Time : 24.002 sec.
32639*2^150392-1 is not prime.  LLR Res64: FD82238F16870E3E  Time : 24.091 sec.
20017*2^150393-1 is not prime.  LLR Res64: CDF94BF3F5B06DE1  Time : 24.082 sec.
34169*2^150400-1 is not prime.  LLR Res64: 1C9C9640FF0312B7  Time : 24.094 sec.
29983*2^150403-1 is not prime.  LLR Res64: CA8A79902513E496  Time : 24.051 sec.
17467*2^150409-1 is not prime.  LLR Res64: 217FDB0E844782AB  Time : 24.179 sec.
17977*2^150409-1 is not prime.  LLR Res64: 5E5700875E0898EA  Time : 24.086 sec.
17021*2^150410-1 is not prime.  LLR Res64: C6B1CD5D7BB417E1  Time : 24.109 sec.
15043*2^150415-1 is not prime.  LLR Res64: B4F5E4B69F16CEB9  Time : 24.069 sec.
24133*2^150419-1 is not prime.  LLR Res64: 76832FD7E8551864  Time : 24.042 sec.
32887*2^150421-1 is not prime.  LLR Res64: 17FB172FB7BEC1D9  Time : 24.007 sec.
20651*2^150422-1 is not prime.  LLR Res64: 6467CA82C1E95B02  Time : 24.035 sec.
16447*2^150425-1 is not prime.  LLR Res64: D1ADF3A0EAB0F2ED  Time : 24.170 sec.
19507*2^150425-1 is not prime.  LLR Res64: 56E813E4E3FE4460  Time : 24.096 sec.
27997*2^150425-1 is not prime.  LLR Res64: 9C2ECD5C8FC8130E  Time : 24.127 sec.
28571*2^150426-1 is not prime.  LLR Res64: DE4A5EC510D35B6C  Time : 24.132 sec.
21793*2^150427-1 is not prime.  LLR Res64: 5F6B4B40B64954E0  Time : 24.056 sec.
31333*2^150427-1 is not prime.  LLR Res64: 84E863EC221BCFCC  Time : 24.183 sec.
25061*2^150430-1 is not prime.  LLR Res64: C4B84CD501ACC900  Time : 24.017 sec.
18869*2^150432-1 is not prime.  LLR Res64: 9C6EE1D80BE06D4A  Time : 24.119 sec.
31357*2^150437-1 is not prime.  LLR Res64: 256567E91688C24C  Time : 24.088 sec.
18869*2^150440-1 is not prime.  LLR Res64: 4A5105E7239A84A1  Time : 24.065 sec.
17113*2^150443-1 is not prime.  LLR Res64: C1ABC148653098C9  Time : 24.011 sec.
20143*2^150447-1 is not prime.  LLR Res64: FD47CDF7734A3646  Time : 24.108 sec.
20017*2^150449-1 is not prime.  LLR Res64: 3958B4256F5BAFA9  Time : 23.997 sec.
20651*2^150454-1 is not prime.  LLR Res64: B27370216840FAAC  Time : 24.036 sec.
23711*2^150454-1 is not prime.  LLR Res64: FBC7F5ADF56A51EE  Time : 24.047 sec.
18103*2^150455-1 is not prime.  LLR Res64: E84707F122D7A623  Time : 24.040 sec.
32639*2^150456-1 is not prime.  LLR Res64: E168FE12AEAF8DAF  Time : 24.001 sec.
21793*2^150463-1 is not prime.  LLR Res64: 7FC7E4929E8C5369  Time : 24.010 sec.
33419*2^150464-1 is not prime.  LLR Res64: D8FA90B6F5ECF86D  Time : 24.047 sec.
30283*2^150467-1 is not prime.  LLR Res64: 12FCB62554EB64C9  Time : 24.109 sec.
30337*2^150469-1 is not prime.  LLR Res64: 278D9E2CF9145077  Time : 24.005 sec.
25183*2^150471-1 is not prime.  LLR Res64: 3BE3DB90166B0EEF  Time : 24.013 sec.
31453*2^150471-1 is not prime.  LLR Res64: 9724BFDC6901B353  Time : 24.019 sec.
28571*2^150474-1 is not prime.  LLR Res64: C1144A5C0DA806DE  Time : 24.048 sec.
31333*2^150475-1 is not prime.  LLR Res64: FE344B98499A1954  Time : 24.018 sec.
25183*2^150483-1 is not prime.  LLR Res64: EB1AB83BAABFE917  Time : 24.061 sec.
27913*2^150483-1 is not prime.  LLR Res64: 442B163CFF800D8B  Time : 24.071 sec.
31453*2^150483-1 is not prime.  LLR Res64: 3C9E08BCA7F28467  Time : 24.025 sec.
31627*2^150493-1 is not prime.  LLR Res64: A1BB98EB97CEA09E  Time : 24.025 sec.
20533*2^150495-1 is not prime.  LLR Res64: C0465D0CECB79C7F  Time : 24.035 sec.
22453*2^150495-1 is not prime.  LLR Res64: D10250B6519987FF  Time : 24.067 sec.
27913*2^150495-1 is not prime.  LLR Res64: 926314A0B5B1F513  Time : 24.042 sec.
27029*2^150496-1 is not prime.  LLR Res64: 6890EE66DD98A630  Time : 24.045 sec.
31333*2^150499-1 is not prime.  LLR Res64: 1B5C7862DCA483AC  Time : 24.039 sec.
18103*2^150503-1 is not prime.  LLR Res64: 57E08D4E73712664  Time : 24.095 sec.
33373*2^150507-1 is not prime.  LLR Res64: C650BA8001B2ACD6  Time : 24.115 sec.
20381*2^150510-1 is not prime.  LLR Res64: 87CB795691F49842  Time : 24.042 sec.
18103*2^150511-1 is not prime.  LLR Res64: 7D8A9B674B26BADF  Time : 24.042 sec.
29983*2^150511-1 is not prime.  LLR Res64: 4411FC5C1C422FD3  Time : 24.006 sec.
32383*2^150511-1 is not prime.  LLR Res64: 72FBC75C4A936585  Time : 24.065 sec.
18727*2^150513-1 is not prime.  LLR Res64: 5A2664ADB7CCFF64  Time : 24.037 sec.
24221*2^150518-1 is not prime.  LLR Res64: 29BFA158EC4133A7  Time : 24.101 sec.
17021*2^150522-1 is not prime.  LLR Res64: A8DCAB68DF1FD32D  Time : 24.303 sec.
32377*2^150525-1 is not prime.  LLR Res64: 5601D1910FAB21D4  Time : 24.118 sec.
20651*2^150526-1 is not prime.  LLR Res64: EFE5D8EB95FCCA06  Time : 24.119 sec.
15373*2^150527-1 is not prime.  LLR Res64: 22BC57D23C5E7ABF  Time : 24.107 sec.
28723*2^150531-1 is not prime.  LLR Res64: 94467C6593210002  Time : 24.014 sec.
22537*2^150533-1 is not prime.  LLR Res64: F0719736D1406B5C  Time : 24.089 sec.
18103*2^150535-1 is not prime.  LLR Res64: 72939A8DEE44D695  Time : 24.099 sec.
15997*2^150537-1 is not prime.  LLR Res64: 35D13CFE1138456D  Time : 24.046 sec.
28177*2^150537-1 is not prime.  LLR Res64: A502947191E67CBE  Time : 24.010 sec.
25061*2^150538-1 is not prime.  LLR Res64: 2670D6A690B28364  Time : 24.054 sec.
27913*2^150543-1 is not prime.  LLR Res64: 386FB6B9A01D530C  Time : 24.167 sec.
31109*2^150544-1 is not prime.  LLR Res64: 427A4EA4BA2D539C  Time : 24.077 sec.
33457*2^150545-1 is not prime.  LLR Res64: F7EAF34E2DC581D7  Time : 24.026 sec.
28571*2^150546-1 is not prime.  LLR Res64: A1B972FF1CE03BD4  Time : 24.008 sec.
31357*2^150549-1 is not prime.  LLR Res64: E28E8C7A35903FDB  Time : 24.049 sec.
23111*2^150558-1 is not prime.  LLR Res64: 6C7A821756B23A8F  Time : 24.195 sec.
19121*2^150566-1 is not prime.  LLR Res64: F9300E05B9195D17  Time : 24.303 sec.
31873*2^150567-1 is not prime.  LLR Res64: 480DEAD68B7D5BAC  Time : 24.062 sec.
24599*2^150568-1 is not prime.  LLR Res64: EB12D6A5EE81D57A  Time : 24.063 sec.
34169*2^150568-1 is not prime.  LLR Res64: AB7A9B54D2317666  Time : 24.133 sec.
33457*2^150569-1 is not prime.  LLR Res64: 413E31D135867452  Time : 24.120 sec.
23111*2^150570-1 is not prime.  LLR Res64: C657AE21466B6FD9  Time : 24.129 sec.
17113*2^150571-1 is not prime.  LLR Res64: D780E32A019CE1C3  Time : 24.091 sec.
27133*2^150571-1 is not prime.  LLR Res64: 11F10B79240A3DDE  Time : 24.198 sec.
28177*2^150577-1 is not prime.  LLR Res64: A1DB3BD47FCF866D  Time : 24.034 sec.
31627*2^150577-1 is not prime.  LLR Res64: B7D2FBCDF3CAF262  Time : 24.101 sec.
31453*2^150579-1 is not prime.  LLR Res64: A5BDFEA5CFD325F7  Time : 24.190 sec.
25559*2^150580-1 is not prime.  LLR Res64: 2C92FAC909BF16CA  Time : 24.136 sec.
19117*2^150581-1 is not prime.  LLR Res64: 06E06171AF283960  Time : 24.060 sec.
25747*2^150581-1 is not prime.  LLR Res64: 40721B890B296878  Time : 24.120 sec.
30337*2^150581-1 is not prime.  LLR Res64: 7B08B223415C873B  Time : 24.157 sec.
18869*2^150584-1 is not prime.  LLR Res64: 9074F78DE5654E42  Time : 24.138 sec.
31109*2^150584-1 is not prime.  LLR Res64: 75F4B7D19B5164DA  Time : 24.100 sec.
16573*2^150591-1 is not prime.  LLR Res64: 2FCC3D4FB49CF7D9  Time : 24.108 sec.
20017*2^150593-1 is not prime.  LLR Res64: 8569A44DD28AB5A9  Time : 24.077 sec.
18103*2^150599-1 is not prime.  LLR Res64: 5AE29DD74D83D001  Time : 24.074 sec.
17467*2^150601-1 is not prime.  LLR Res64: 50A0FAF9A8C090A2  Time : 24.205 sec.
