31333*2^250267-1 is not prime.  LLR Res64: 3F0CC838DE2F6259  Time : 61.490 sec.
33419*2^250268-1 is not prime.  LLR Res64: 4606779AFCE34616  Time : 61.353 sec.
32383*2^250271-1 is not prime.  LLR Res64: FC98B46CF0A32BEB  Time : 61.317 sec.
22927*2^250273-1 is not prime.  LLR Res64: FCCDF449D371EA6B  Time : 61.486 sec.
31627*2^250273-1 is not prime.  LLR Res64: 91BC2735A2189B84  Time : 61.603 sec.
31357*2^250277-1 is not prime.  LLR Res64: 7CBD53481AE8F26E  Time : 61.572 sec.
17113*2^250279-1 is not prime.  LLR Res64: FD12050BF86F6F4D  Time : 61.557 sec.
18869*2^250280-1 is not prime.  LLR Res64: 6360724C58AB9058  Time : 61.386 sec.
27899*2^250280-1 is not prime.  LLR Res64: B0F79A97D1993F75  Time : 61.306 sec.
30059*2^250288-1 is not prime.  LLR Res64: 58F9DEA4541E9C1B  Time : 61.399 sec.
20017*2^250289-1 is not prime.  LLR Res64: C47722489EE9CFAB  Time : 61.354 sec.
28571*2^250290-1 is not prime.  LLR Res64: 00836428FD1A1BBA  Time : 61.381 sec.
33419*2^250292-1 is not prime.  LLR Res64: 757D729535077B4C  Time : 61.429 sec.
24221*2^250294-1 is not prime.  LLR Res64: 82549E89B97AEBA4  Time : 61.560 sec.
17467*2^250297-1 is not prime.  LLR Res64: 853134120CC4E60E  Time : 61.300 sec.
17977*2^250297-1 is not prime.  LLR Res64: C569D563963DA08E  Time : 61.342 sec.
20591*2^250298-1 is not prime.  LLR Res64: BA8046A08F0F6B9A  Time : 61.370 sec.
16543*2^250299-1 is not prime.  LLR Res64: DCD6239111B30B95  Time : 62.048 sec.
23173*2^250299-1 is not prime.  LLR Res64: 6F84C7310BC5E556  Time : 61.357 sec.
27913*2^250299-1 is not prime.  LLR Res64: 4BC55A549033F215  Time : 61.423 sec.
15373*2^250303-1 is not prime.  LLR Res64: 08B875ACF4BB2E0B  Time : 61.807 sec.
31873*2^250303-1 is not prime.  LLR Res64: C13B49AAC3CBDC6D  Time : 61.625 sec.
18869*2^250304-1 is not prime.  LLR Res64: D676FEC4FBE351FF  Time : 61.404 sec.
16573*2^250311-1 is not prime.  LLR Res64: FA3B0185999FBC33  Time : 61.362 sec.
31453*2^250311-1 is not prime.  LLR Res64: EC9855CBEC063828  Time : 61.303 sec.
34297*2^250313-1 is not prime.  LLR Res64: 26DF8E425A5A1C0C  Time : 61.464 sec.
27899*2^250316-1 is not prime.  LLR Res64: 604344B7074C88A6  Time : 61.453 sec.
32377*2^250317-1 is not prime.  LLR Res64: 25CC3B9A5660D08C  Time : 61.329 sec.
17977*2^250321-1 is not prime.  LLR Res64: D2212C1CCC4ADE78  Time : 61.349 sec.
23437*2^250321-1 is not prime.  LLR Res64: 081ADBC396D260E1  Time : 61.383 sec.
28723*2^250323-1 is not prime.  LLR Res64: 4262BC2326557AA4  Time : 61.418 sec.
15037*2^250325-1 is not prime.  LLR Res64: 1CC7B6AE2798CF10  Time : 61.382 sec.
33457*2^250325-1 is not prime.  LLR Res64: 3194216AD9257848  Time : 61.424 sec.
22691*2^250326-1 is not prime.  LLR Res64: D1EDD3A4B78F831C  Time : 61.549 sec.
32383*2^250327-1 is not prime.  LLR Res64: 02BA58348D2755BC  Time : 61.625 sec.
27899*2^250328-1 is not prime.  LLR Res64: A62562494C74026A  Time : 62.010 sec.
32639*2^250328-1 is not prime.  LLR Res64: B7C9CE5EB7AE8FCD  Time : 61.939 sec.
30337*2^250333-1 is not prime.  LLR Res64: 190DA8FB43A61540  Time : 61.669 sec.
19121*2^250334-1 is not prime.  LLR Res64: AD05A3059F8354A2  Time : 61.476 sec.
15043*2^250335-1 is not prime.  LLR Res64: 895C6E6E39A61D23  Time : 61.422 sec.
31873*2^250335-1 is not prime.  LLR Res64: 71CD993BF4599265  Time : 61.416 sec.
27029*2^250344-1 is not prime.  LLR Res64: CACADC449AE26985  Time : 61.343 sec.
17021*2^250346-1 is not prime.  LLR Res64: 7E07D094F4D5AF14  Time : 61.333 sec.
24599*2^250348-1 is not prime.  LLR Res64: 9008FE15020E147D  Time : 61.399 sec.
25747*2^250349-1 is not prime.  LLR Res64: 0BB1B7A346672EED  Time : 61.501 sec.
23111*2^250350-1 is not prime.  LLR Res64: 59E44C0F23A87C06  Time : 61.399 sec.
29983*2^250351-1 is not prime.  LLR Res64: 3821895DA06075BC  Time : 61.297 sec.
15037*2^250357-1 is not prime.  LLR Res64: A3A7FF448FCF04C7  Time : 61.372 sec.
31873*2^250359-1 is not prime.  LLR Res64: AB2135F2E2FD2DF6  Time : 61.362 sec.
32789*2^250360-1 is not prime.  LLR Res64: 50A4D3C6462E46F6  Time : 61.532 sec.
16573*2^250367-1 is not prime.  LLR Res64: 3AE26B1FB875D4EF  Time : 61.810 sec.
30283*2^250367-1 is not prime.  LLR Res64: BCAA24353896DD23  Time : 61.470 sec.
33403*2^250367-1 is not prime.  LLR Res64: 77777342C1989D10  Time : 61.820 sec.
32789*2^250372-1 is not prime.  LLR Res64: 6B28BD2FD372F350  Time : 61.695 sec.
15043*2^250375-1 is not prime.  LLR Res64: CD5C98324CD301D9  Time : 61.426 sec.
29677*2^250377-1 is not prime.  LLR Res64: 4F7F8AB14CD004B3  Time : 61.359 sec.
27913*2^250383-1 is not prime.  LLR Res64: AFF454D8DCBEB3CA  Time : 61.518 sec.
34169*2^250384-1 is not prime.  LLR Res64: 245164ED1F6F1A87  Time : 61.522 sec.
27997*2^250385-1 is not prime.  LLR Res64: 77632CE0F02948CC  Time : 61.561 sec.
17021*2^250386-1 is not prime.  LLR Res64: C062148088791642  Time : 61.430 sec.
16543*2^250387-1 is not prime.  LLR Res64: 9A6C039A2BD40E50  Time : 61.407 sec.
24523*2^250387-1 is not prime.  LLR Res64: 35A54A5E93CF1861  Time : 61.719 sec.
24221*2^250390-1 is not prime.  LLR Res64: 9EA2709142D9B45B  Time : 61.980 sec.
24133*2^250391-1 is not prime.  LLR Res64: D0E4B34D86F68323  Time : 61.578 sec.
18869*2^250392-1 is not prime.  LLR Res64: 383D9C5883DD2081  Time : 61.703 sec.
20533*2^250395-1 is not prime.  LLR Res64: 3DCFB67C910BEABF  Time : 61.666 sec.
17411*2^250398-1 is not prime.  LLR Res64: 3693369F3A31954A  Time : 61.429 sec.
20017*2^250401-1 is not prime.  LLR Res64: C759B975894299D6  Time : 61.674 sec.
18209*2^250404-1 is not prime.  LLR Res64: 2C1ED527D5FDA97A  Time : 61.615 sec.
31873*2^250407-1 is not prime.  LLR Res64: E81816CDDF61AA13  Time : 61.402 sec.
34183*2^250407-1 is not prime.  LLR Res64: B21EBF94D2FF41B8  Time : 61.484 sec.
34169*2^250408-1 is not prime.  LLR Res64: 6E10FCDAFC06F72B  Time : 61.883 sec.
34297*2^250409-1 is not prime.  LLR Res64: 4E552D0DD2A71FFF  Time : 61.497 sec.
17021*2^250410-1 is not prime.  LLR Res64: 09CA2E0FBE7D574A  Time : 61.464 sec.
33419*2^250412-1 is not prime.  LLR Res64: D95511740AFB0642  Time : 61.433 sec.
17977*2^250417-1 is not prime.  LLR Res64: 26819C6A18B1EA51  Time : 61.464 sec.
31627*2^250417-1 is not prime.  LLR Res64: 8F622323B022FC90  Time : 61.315 sec.
34183*2^250419-1 is not prime.  LLR Res64: 11F6CA6D64C4C14B  Time : 61.486 sec.
15037*2^250421-1 is not prime.  LLR Res64: 44E6CB92EC3C03E2  Time : 61.486 sec.
30337*2^250421-1 is not prime.  LLR Res64: 60282F45A0F7E39F  Time : 61.552 sec.
28571*2^250422-1 is not prime.  LLR Res64: D1D99941AB84384B  Time : 61.664 sec.
18727*2^250425-1 is not prime.  LLR Res64: 25BD915088896714  Time : 61.477 sec.
19507*2^250425-1 is not prime.  LLR Res64: 12498C6B0A0FFB46  Time : 61.368 sec.
22649*2^250428-1 is not prime.  LLR Res64: 59906D8FA45E705B  Time : 61.482 sec.
32887*2^250429-1 is not prime.  LLR Res64: 6E249B43E71B444E  Time : 61.355 sec.
17369*2^250432-1 is not prime.  LLR Res64: F9612BC5C3ADE7AF  Time : 61.536 sec.
33937*2^250433-1 is not prime.  LLR Res64: 83C0FF3E4EC87EDC  Time : 61.864 sec.
23173*2^250435-1 is not prime.  LLR Res64: E1C348C69772D67F  Time : 61.507 sec.
18103*2^250439-1 is not prime.  LLR Res64: 38F5AD219A7C3519  Time : 61.466 sec.
34169*2^250440-1 is not prime.  LLR Res64: 1926D7B423EEB29C  Time : 61.457 sec.
20591*2^250442-1 is not prime.  LLR Res64: 7010A24DD1D518F2  Time : 61.597 sec.
33373*2^250443-1 is not prime.  LLR Res64: 6B925BF71B433BCB  Time : 61.998 sec.
27997*2^250445-1 is not prime.  LLR Res64: 5CCE279544BAFA2B  Time : 61.675 sec.
32887*2^250445-1 is not prime.  LLR Res64: DBB6401F4636A9E1  Time : 61.520 sec.
20381*2^250446-1 is not prime.  LLR Res64: 9073F70838175788  Time : 61.509 sec.
34297*2^250449-1 is not prime.  LLR Res64: B52789C6B7915D00  Time : 61.359 sec.
30283*2^250451-1 is not prime.  LLR Res64: 0A315D630890CA0F  Time : 61.347 sec.
18209*2^250452-1 is not prime.  LLR Res64: F05ADB5CCFDEBAED  Time : 61.373 sec.
28781*2^250454-1 is not prime.  LLR Res64: 743E557618D0C7B8  Time : 61.345 sec.
33403*2^250455-1 is not prime.  LLR Res64: F06979D1A31EC982  Time : 61.336 sec.
17369*2^250456-1 is not prime.  LLR Res64: 97F8FD5B7FE822EF  Time : 61.392 sec.
30059*2^250456-1 is not prime.  LLR Res64: 0A34665C6C11E07D  Time : 61.451 sec.
18103*2^250463-1 is not prime.  LLR Res64: 80222BB63BA9C5A3  Time : 61.521 sec.
22649*2^250464-1 is not prime.  LLR Res64: AE9122780FBBBD3F  Time : 61.476 sec.
32639*2^250464-1 is not prime.  LLR Res64: 6CC78708CCCC9A5E  Time : 61.440 sec.
17977*2^250465-1 is not prime.  LLR Res64: FAE80E8228B951CE  Time : 61.397 sec.
20591*2^250466-1 is not prime.  LLR Res64: 2EA597AECA04BF06  Time : 61.378 sec.
33373*2^250467-1 is not prime.  LLR Res64: CAD69D47F49C515A  Time : 61.430 sec.
30337*2^250469-1 is not prime.  LLR Res64: 02A164FCA02E729F  Time : 61.325 sec.
20381*2^250470-1 is not prime.  LLR Res64: B624E59202D71E6E  Time : 61.312 sec.
24523*2^250471-1 is not prime.  LLR Res64: E92DBA75B509DA5E  Time : 61.378 sec.
32639*2^250472-1 is not prime.  LLR Res64: 8075891D8F5058A7  Time : 61.553 sec.
34297*2^250473-1 is not prime.  LLR Res64: C57278C74F82E8C4  Time : 61.325 sec.
30283*2^250475-1 is not prime.  LLR Res64: 245C0B158322B884  Time : 61.348 sec.
27913*2^250479-1 is not prime.  LLR Res64: 134794A47AE7689C  Time : 61.432 sec.
20017*2^250481-1 is not prime.  LLR Res64: 5882B8188E9451AE  Time : 61.440 sec.
24161*2^250482-1 is not prime.  LLR Res64: 6772A6A9CC61AF3A  Time : 61.726 sec.
29983*2^250483-1 is not prime.  LLR Res64: 89C773A44EFBEB73  Time : 61.446 sec.
23711*2^250486-1 is not prime.  LLR Res64: 6E707A96245AF52F  Time : 61.385 sec.
17467*2^250489-1 is not prime.  LLR Res64: 8D4DB9BF898751C4  Time : 61.395 sec.
24097*2^250489-1 is not prime.  LLR Res64: 4087A095406ED00D  Time : 61.446 sec.
34297*2^250497-1 is not prime.  LLR Res64: B2DC0C354FB7F3F8  Time : 61.565 sec.
15373*2^250499-1 is not prime.  LLR Res64: 49A4BCB58003B883  Time : 61.654 sec.
24133*2^250499-1 is not prime.  LLR Res64: 90CAAAFDF20DB3E8  Time : 61.551 sec.
31627*2^250501-1 is not prime.  LLR Res64: 6D2BE6C1121DA36D  Time : 61.410 sec.
31873*2^250503-1 is not prime.  LLR Res64: 787680A53237B456  Time : 61.444 sec.
31109*2^250504-1 is not prime.  LLR Res64: 06E4CE5CE56E653A  Time : 61.440 sec.
27899*2^250508-1 is not prime.  LLR Res64: E7CE456EBAF9DC44  Time : 61.359 sec.
29677*2^250509-1 is not prime.  LLR Res64: 1096C39D4C3912C1  Time : 61.360 sec.
31357*2^250509-1 is not prime.  LLR Res64: 522C760403F7C708  Time : 61.421 sec.
18869*2^250512-1 is not prime.  LLR Res64: 8812952EE698E214  Time : 61.456 sec.
20591*2^250514-1 is not prime.  LLR Res64: 168C867CD4017952  Time : 61.390 sec.
25183*2^250515-1 is not prime.  LLR Res64: 6BF76B4596F1BC0C  Time : 61.474 sec.
20017*2^250521-1 is not prime.  LLR Res64: F312C8090FFAA5F0  Time : 61.452 sec.
18607*2^250525-1 is not prime.  LLR Res64: 95D5866B7E694411  Time : 61.761 sec.
33403*2^250527-1 is not prime.  LLR Res64: 208DE173A00810D2  Time : 61.440 sec.
27133*2^250531-1 is not prime.  LLR Res64: 0A60D16393780906  Time : 61.419 sec.
18727*2^250533-1 is not prime.  LLR Res64: 485D9306CDD9F59E  Time : 61.419 sec.
20651*2^250534-1 is not prime.  LLR Res64: 43A6127DF10B4C19  Time : 61.434 sec.
17467*2^250537-1 is not prime.  LLR Res64: 573491E0187415DF  Time : 61.528 sec.
28177*2^250537-1 is not prime.  LLR Res64: A1C9C8CB07400D2E  Time : 61.356 sec.
28781*2^250538-1 is not prime.  LLR Res64: 73E4C4A4FCB1E7D1  Time : 61.427 sec.
22537*2^250541-1 is not prime.  LLR Res64: 95C5B7AB41A4D3DA  Time : 61.458 sec.
18103*2^250543-1 is not prime.  LLR Res64: 074DC090D2D0FFD7  Time : 61.403 sec.
32383*2^250543-1 is not prime.  LLR Res64: 511AB6C617D51A89  Time : 61.371 sec.
28177*2^250545-1 is not prime.  LLR Res64: B894A4D33345A0C2  Time : 61.364 sec.
21643*2^250547-1 is not prime.  LLR Res64: C254C7B553B9757C  Time : 61.517 sec.
22927*2^250549-1 is not prime.  LLR Res64: 4C6FB8ABE4BE7281  Time : 61.406 sec.
19121*2^250550-1 is not prime.  LLR Res64: EFF05D05F6868752  Time : 61.387 sec.
20533*2^250551-1 is not prime.  LLR Res64: B975AB6CC44CFD4E  Time : 61.474 sec.
20399*2^250552-1 is not prime.  LLR Res64: 59C7D0F0D1532DA5  Time : 61.558 sec.
21643*2^250555-1 is not prime.  LLR Res64: CDDE993A324CBC48  Time : 61.612 sec.
