12045*2^840054-1 is not prime.  LLR Res64: 891C8002390B5460  Time : 445.200 sec.
16887*2^840054-1 is not prime.  LLR Res64: 823BDC578152846F  Time : 461.233 sec.
18525*2^840054-1 is not prime.  LLR Res64: 72CCEEC4BDD4BF21  Time : 483.304 sec.
20145*2^840054-1 is not prime.  LLR Res64: 0F16D1A70DA493BF  Time : 477.929 sec.
22701*2^840054-1 is not prime.  LLR Res64: 3BA1425D9E8B0C24  Time : 480.484 sec.
22785*2^840054-1 is not prime.  LLR Res64: BE893BE2D09D3C84  Time : 473.264 sec.
25905*2^840054-1 is not prime.  LLR Res64: 762F6269DB8639C2  Time : 500.605 sec.
16665*2^840055-1 is not prime.  LLR Res64: C4E6AC8862EFB520  Time : 485.573 sec.
21525*2^840055-1 is not prime.  LLR Res64: 9DD22DE344C8F72E  Time : 488.378 sec.
23295*2^840055-1 is not prime.  LLR Res64: F4F274583F6559DD  Time : 508.738 sec.
23805*2^840055-1 is not prime.  LLR Res64: 19245B9F41BAE82B  Time : 480.166 sec.
12753*2^840056-1 is not prime.  LLR Res64: C792B799761F442B  Time : 486.698 sec.
22095*2^840056-1 is not prime.  LLR Res64: E975B8259C3DCB17  Time : 495.446 sec.
22785*2^840056-1 is not prime.  LLR Res64: C3844D05C8212D42  Time : 488.028 sec.
16665*2^840057-1 is not prime.  LLR Res64: 85A45E2BE62BFC22  Time : 459.310 sec.
29685*2^840057-1 is not prime.  LLR Res64: 31FF2DB50DF9CA0E  Time : 478.158 sec.
29925*2^840057-1 is not prime.  LLR Res64: 27A6B680E3B3C892  Time : 634.644 sec.
16665*2^840058-1 is not prime.  LLR Res64: C79510D7E4868F1F  Time : 480.644 sec.
18525*2^840058-1 is not prime.  LLR Res64: 33C8A3726A9C01FC  Time : 446.410 sec.
20625*2^840058-1 is not prime.  LLR Res64: 07113068C97466C9  Time : 441.728 sec.
25077*2^840058-1 is not prime.  LLR Res64: 161C660E603AE4E5  Time : 455.208 sec.
23295*2^840059-1 is not prime.  LLR Res64: 1B0E978A03D86F87  Time : 472.366 sec.
12045*2^840060-1 is not prime.  LLR Res64: 7F4767760FC48BB5  Time : 473.707 sec.
29925*2^840060-1 is not prime.  LLR Res64: D30F20E3628AE7CF  Time : 505.972 sec.
14895*2^840061-1 is not prime.  LLR Res64: 031D4DB36302FFDF  Time : 439.837 sec.
17295*2^840061-1 is not prime.  LLR Res64: B6D02CEE1195925E  Time : 451.079 sec.
12753*2^840062-1 is not prime.  LLR Res64: 4DB9E88771D44B22  Time : 485.949 sec.
28215*2^840062-1 is not prime.  LLR Res64: B8067AA38A6FD4FD  Time : 487.754 sec.
11961*2^840063-1 is not prime.  LLR Res64: ED91B4CC23845A74  Time : 449.666 sec.
12753*2^840063-1 is not prime.  LLR Res64: 2B7790971F9D64F5  Time : 438.738 sec.
18975*2^840063-1 is not prime.  LLR Res64: 8E83222139E4FBA0  Time : 442.061 sec.
22701*2^840063-1 is not prime.  LLR Res64: D073D00F4953238A  Time : 462.814 sec.
13065*2^840064-1 is not prime.  LLR Res64: 922B4855D9AF0480  Time : 470.890 sec.
17295*2^840064-1 is not prime.  LLR Res64: B552D4D35131C81D  Time : 441.037 sec.
23295*2^840064-1 is not prime.  LLR Res64: E735EABAFDAE9BEA  Time : 477.366 sec.
28215*2^840064-1 is not prime.  LLR Res64: 91835797F9951F2C  Time : 492.869 sec.
16665*2^840065-1 is not prime.  LLR Res64: 70069DC7C97EBD9F  Time : 446.025 sec.
16887*2^840065-1 is not prime.  LLR Res64: 14296D0DC1761334  Time : 481.534 sec.
22701*2^840065-1 is not prime.  LLR Res64: D3598E8A10F4D297  Time : 465.096 sec.
14895*2^840066-1 is not prime.  LLR Res64: 543CD81815FAB013  Time : 441.909 sec.
