26829*2^10045-1 is not prime.  LLR Res64: 3A7C975F2D23EA7E  Time : 142.979 ms.
21885*2^10046-1 is not prime.  LLR Res64: 57E255CE9835D222  Time : 152.663 ms.
22785*2^10046-1 is not prime.  LLR Res64: C1B213E4E884E2E9  Time : 159.276 ms.
15645*2^10047-1 is not prime.  LLR Res64: 680C2613D64A9388  Time : 164.359 ms.
20145*2^10047-1 is not prime.  LLR Res64: 4ED0A7D17D95D532  Time : 120.388 ms.
21885*2^10047-1 is not prime.  LLR Res64: 34CAC156A2E33509  Time : 142.120 ms.
22095*2^10047-1 is not prime.  LLR Res64: 46766811B467DF5C  Time : 130.673 ms.
18525*2^10048-1 is not prime.  LLR Res64: 4197144ACB9A6DF5  Time : 139.271 ms.
22365*2^10048-1 is not prime.  LLR Res64: 13295BA45196671F  Time : 131.159 ms.
25077*2^10048-1 is not prime.  LLR Res64: 5A779289669B9C7A  Time : 123.488 ms.
29685*2^10048-1 is not prime.  LLR Res64: AE9FCBFEBACDD157  Time : 131.192 ms.
15645*2^10049-1 is not prime.  LLR Res64: 5B2EA09A2E572CEC  Time : 140.686 ms.
17295*2^10049-1 is not prime.  LLR Res64: CA1BDB3BE1DBE1DB  Time : 137.196 ms.
20625*2^10049-1 is not prime.  LLR Res64: F86B8D410350C8A6  Time : 139.610 ms.
22095*2^10049-1 is not prime.  LLR Res64: 4F2BF47FD848DCDE  Time : 147.814 ms.
28665*2^10049-1 is not prime.  LLR Res64: B9B4A87257631D41  Time : 147.985 ms.
29685*2^10049-1 is not prime.  LLR Res64: 0EF236BADB6FCCF0  Time : 148.281 ms.
16887*2^10050-1 is not prime.  LLR Res64: 3A664069C0FA7ECD  Time : 142.578 ms.
18975*2^10050-1 is not prime.  LLR Res64: 6D207B4B188B1361  Time : 139.301 ms.
21525*2^10050-1 is not prime.  LLR Res64: DA99DB75F91DC2A1  Time : 134.085 ms.
23985*2^10050-1 is not prime.  LLR Res64: C5DA5B628A685BA4  Time : 138.831 ms.
22785*2^10051-1 is not prime.  LLR Res64: FEC17646B8E64171  Time : 147.554 ms.
25905*2^10051-1 is not prime.  LLR Res64: EE821B36FBCED88D  Time : 156.079 ms.
26829*2^10051-1 is not prime.  LLR Res64: B848A013A80F502F  Time : 155.496 ms.
29445*2^10051-1 is not prime.  LLR Res64: 9BA92194DDD40CCA  Time : 132.530 ms.
22365*2^10052-1 is not prime.  LLR Res64: 82EFFC69BD39300C  Time : 123.910 ms.
29685*2^10052-1 is not prime.  LLR Res64: ADDC930F2CDA75F0  Time : 121.512 ms.
15645*2^10053-1 is not prime.  LLR Res64: 3183309357FDF930  Time : 130.695 ms.
16665*2^10053-1 is not prime.  LLR Res64: 1D9EA689F8C41E2B  Time : 123.685 ms.
23805*2^10053-1 is not prime.  LLR Res64: 50908769E98F0F9C  Time : 141.168 ms.
25077*2^10053-1 is not prime.  LLR Res64: 2C6862BA3488C389  Time : 138.927 ms.
25905*2^10053-1 is not prime.  LLR Res64: D4811D2BB1BF2195  Time : 139.985 ms.
27615*2^10054-1 is not prime.  LLR Res64: 3B193572C49A7328  Time : 131.399 ms.
27615*2^10055-1 is not prime.  LLR Res64: 3D1EC2687B9A4951  Time : 147.663 ms.
28215*2^10055-1 is not prime.  LLR Res64: A3DD613E00DE8003  Time : 122.943 ms.
29025*2^10055-1 is not prime.  LLR Res64: 0E115460226554B2  Time : 131.273 ms.
29925*2^10055-1 is not prime.  LLR Res64: DFAF7CCF43B217B0  Time : 140.010 ms.
16665*2^10056-1 is not prime.  LLR Res64: FC28E25EACEFF0C7  Time : 124.903 ms.
18975*2^10056-1 is not prime.  LLR Res64: 6D92DC712445DBAF  Time : 138.124 ms.
19635*2^10056-1 is not prime.  LLR Res64: 6F7149EED4EF9878  Time : 140.125 ms.
22095*2^10056-1 is not prime.  LLR Res64: 3747907D6AD2CBD3  Time : 133.673 ms.
22365*2^10056-1 is not prime.  LLR Res64: C62D9EE3467F0278  Time : 139.990 ms.
28215*2^10056-1 is not prime.  LLR Res64: 66CC569F0777D81A  Time : 137.680 ms.
15645*2^10057-1 is not prime.  LLR Res64: A6386015BF30C731  Time : 139.262 ms.
20145*2^10057-1 is not prime.  LLR Res64: 177D41E310FF5B37  Time : 133.187 ms.
22785*2^10057-1 is not prime.  LLR Res64: 3065D696A2870939  Time : 120.209 ms.
28605*2^10057-1 is not prime.  LLR Res64: 421EE708A05D535F  Time : 124.412 ms.
22365*2^10058-1 is not prime.  LLR Res64: 240155A02BCCBCC6  Time : 122.347 ms.
23295*2^10058-1 is not prime.  LLR Res64: 874726472D89A329  Time : 140.000 ms.
29025*2^10058-1 is not prime.  LLR Res64: B0C4559C098650F0  Time : 149.204 ms.
16665*2^10059-1 is not prime.  LLR Res64: 87C9B359D24B717E  Time : 139.479 ms.
29445*2^10059-1 is not prime.  LLR Res64: 338A9E959072BA38  Time : 134.719 ms.
29685*2^10059-1 is not prime.  LLR Res64: 04B1D89D5B3372AA  Time : 138.792 ms.
18975*2^10060-1 is not prime.  LLR Res64: 619F2A87CEE67179  Time : 123.921 ms.
23295*2^10060-1 is not prime.  LLR Res64: C87121F7037E6C9F  Time : 122.733 ms.
23985*2^10060-1 is not prime.  LLR Res64: AC9144797E5EF953  Time : 139.879 ms.
25077*2^10060-1 is not prime.  LLR Res64: A485C3FCC5798668  Time : 137.824 ms.
26829*2^10060-1 is not prime.  LLR Res64: 949585052DACF9AD  Time : 132.310 ms.
27615*2^10060-1 is not prime.  LLR Res64: 16F0A3648001AE20  Time : 132.099 ms.
17295*2^10061-1 is not prime.  LLR Res64: 04DC9038A4A18AB3  Time : 140.041 ms.
20145*2^10061-1 is not prime.  LLR Res64: A1A99953FCBCA9C3  Time : 162.706 ms.
21285*2^10061-1 is not prime.  LLR Res64: 524E398064797570  Time : 144.693 ms.
23985*2^10061-1 is not prime.  LLR Res64: 17BA38122243B2A6  Time : 122.445 ms.
27615*2^10061-1 is not prime.  LLR Res64: 15BF290169B6D9C8  Time : 122.526 ms.
19635*2^10062-1 is not prime.  LLR Res64: A3E38E1665D3B7BF  Time : 132.275 ms.
22701*2^10062-1 is not prime.  LLR Res64: E64F38B3C579E3F4  Time : 125.326 ms.
27615*2^10062-1 is not prime.  LLR Res64: 4CCB3982BA41676B  Time : 135.203 ms.
28605*2^10062-1 is not prime.  LLR Res64: 34D10AB8BF998703  Time : 135.580 ms.
22701*2^10063-1 is not prime.  LLR Res64: 3252AA3B6900D00A  Time : 127.616 ms.
23805*2^10063-1 is not prime.  LLR Res64: 48627347ABF66FEB  Time : 120.705 ms.
25905*2^10063-1 is not prime.  LLR Res64: 9295B885650C9459  Time : 125.931 ms.
26829*2^10063-1 is not prime.  LLR Res64: 5F669E8A3287546E  Time : 270.794 ms.
18525*2^10064-1 is not prime.  LLR Res64: 8E48D9D66654CA98  Time : 139.075 ms.
29685*2^10064-1 is not prime.  LLR Res64: 95B4C373BB9A30B2  Time : 142.815 ms.
18525*2^10065-1 is not prime.  LLR Res64: E8928AF0ACB29E0D  Time : 122.867 ms.
19635*2^10065-1 is not prime.  LLR Res64: 82E6179BD5FBE4C0  Time : 139.845 ms.
22701*2^10065-1 is not prime.  LLR Res64: 9BD34F6037376E21  Time : 131.122 ms.
26829*2^10065-1 is not prime.  LLR Res64: FF5EF15BEC3D3B6B  Time : 124.744 ms.
16887*2^10066-1 is not prime.  LLR Res64: A0314121A36F30B1  Time : 138.959 ms.
20625*2^10066-1 is not prime.  LLR Res64: C64CA394A62BDAAE  Time : 139.960 ms.
29025*2^10066-1 is not prime.  LLR Res64: DBDA2E353E36756A  Time : 139.531 ms.
28605*2^10067-1 is not prime.  LLR Res64: 46329ECBDB71BA1A  Time : 132.403 ms.
16665*2^10068-1 is not prime.  LLR Res64: FCB392727EA3CCDF  Time : 139.056 ms.
18975*2^10068-1 is not prime.  LLR Res64: 3B0B139C3E2ABF52  Time : 123.702 ms.
21285*2^10068-1 is not prime.  LLR Res64: 03078705007BEC19  Time : 130.577 ms.
21885*2^10068-1 is not prime.  LLR Res64: DAD0A550D89080EF  Time : 133.012 ms.
23985*2^10068-1 is not prime.  LLR Res64: 867B61BC4B372AA8  Time : 139.241 ms.
25077*2^10068-1 is not prime.  LLR Res64: B7269EF76FAF12E8  Time : 131.259 ms.
29685*2^10068-1 is not prime.  LLR Res64: 0D7B07B9943E9684  Time : 123.448 ms.
21825*2^10069-1 is not prime.  LLR Res64: 34F0E197F02DB279  Time : 137.740 ms.
28605*2^10069-1 is not prime.  LLR Res64: F0E7FA976C71F095  Time : 148.317 ms.
15645*2^10070-1 is not prime.  LLR Res64: 573A2C125C41AE37  Time : 134.132 ms.
16485*2^10070-1 is not prime.  LLR Res64: 962C3E6D46AC0EB7  Time : 131.669 ms.
17295*2^10070-1 is not prime.  LLR Res64: 1165E487AAC22243  Time : 130.292 ms.
21285*2^10070-1 is not prime.  LLR Res64: 7D42CF66E28E35CE  Time : 140.191 ms.
22365*2^10070-1 is not prime.  LLR Res64: 4748AC9D38FB05F2  Time : 138.989 ms.
22785*2^10070-1 is not prime.  LLR Res64: 16AB79D1A73E16F4  Time : 123.704 ms.
27615*2^10070-1 is not prime.  LLR Res64: 6E48800536305714  Time : 156.054 ms.
29685*2^10070-1 is not prime.  LLR Res64: EA0930BE69AA6486  Time : 139.887 ms.
20625*2^10071-1 is not prime.  LLR Res64: B59F813B22A4A40C  Time : 140.849 ms.
21825*2^10071-1 is not prime.  LLR Res64: 7FB5CA304485C12B  Time : 132.072 ms.
23985*2^10071-1 is not prime.  LLR Res64: 50F63F031E5224F6  Time : 121.440 ms.
18975*2^10072-1 is not prime.  LLR Res64: E07C234D80B0282A  Time : 123.686 ms.
26829*2^10072-1 is not prime.  LLR Res64: 59CED725FA2AEE18  Time : 122.625 ms.
18525*2^10073-1 is not prime.  LLR Res64: C9EB5777CC23327F  Time : 129.972 ms.
25905*2^10073-1 is not prime.  LLR Res64: 876FAB32B06F099A  Time : 131.617 ms.
28665*2^10073-1 is not prime.  LLR Res64: 9F039C346EB9CA09  Time : 131.208 ms.
21285*2^10074-1 is not prime.  LLR Res64: BFD584611B76547D  Time : 124.265 ms.
23805*2^10074-1 is not prime.  LLR Res64: 3ADF6C3E17F5E133  Time : 139.715 ms.
22701*2^10075-1 is not prime.  LLR Res64: 897E82FD94D3B2A5  Time : 141.086 ms.
25905*2^10075-1 is not prime.  LLR Res64: 523B974345643F3B  Time : 139.942 ms.
28215*2^10076-1 is not prime.  LLR Res64: F93D7360FD8AEE26  Time : 131.499 ms.
18525*2^10077-1 is not prime.  LLR Res64: 2D260D9E14C5185D  Time : 130.873 ms.
