16665*2^676027-1 is not prime.  LLR Res64: 43823A86A25B9F78  Time : 318.316 sec.
21285*2^676027-1 is not prime.  LLR Res64: 1D13E00E6EA83871  Time : 373.659 sec.
22365*2^676027-1 is not prime.  LLR Res64: 0AB05C7F94B1CB7B  Time : 375.414 sec.
23805*2^676027-1 is not prime.  LLR Res64: EFBE1DC150D3BD49  Time : 373.052 sec.
28665*2^676027-1 is not prime.  LLR Res64: A21A84DCBE701E30  Time : 375.417 sec.
15645*2^676028-1 is not prime.  LLR Res64: 241171B22EC4600A  Time : 309.365 sec.
16887*2^676028-1 is not prime.  LLR Res64: 0AD31FF3077D42CD  Time : 319.040 sec.
21525*2^676028-1 is not prime.  LLR Res64: CC4C021B276F4986  Time : 370.787 sec.
29925*2^676028-1 is not prime.  LLR Res64: 56063651771B8CE9  Time : 365.017 sec.
11961*2^676029-1 is not prime.  LLR Res64: 62B15A9BD5140EC1  Time : 305.797 sec.
16665*2^676029-1 is not prime.  LLR Res64: D51FB5C5D0578051  Time : 307.938 sec.
21825*2^676029-1 is not prime.  LLR Res64: 82DF972BDFFEA889  Time : 399.875 sec.
22701*2^676029-1 is not prime.  LLR Res64: 49997DFD72CD88E7  Time : 368.124 sec.
28665*2^676029-1 is not prime.  LLR Res64: CDF3C9FD9A51DA0E  Time : 367.566 sec.
29445*2^676029-1 is not prime.  LLR Res64: BCE904C03F3833E0  Time : 366.722 sec.
12753*2^676030-1 is not prime.  LLR Res64: 5B47041A4DDA869C  Time : 308.437 sec.
13845*2^676030-1 is not prime.  LLR Res64: 61E2B3312E9B079E  Time : 305.734 sec.
16665*2^676030-1 is not prime.  LLR Res64: 66625D93E699DAEF  Time : 317.540 sec.
16887*2^676030-1 is not prime.  LLR Res64: 9F73538B2867655D  Time : 316.836 sec.
17295*2^676030-1 is not prime.  LLR Res64: 7F0D121CBF5FC4FF  Time : 319.467 sec.
22095*2^676030-1 is not prime.  LLR Res64: ABF8EC09C06B120E  Time : 373.445 sec.
25905*2^676030-1 is not prime.  LLR Res64: C0E372F00927D43A  Time : 370.654 sec.
28605*2^676030-1 is not prime.  LLR Res64: 6591D5CC2D238929  Time : 369.403 sec.
28635*2^676030-1 is not prime.  LLR Res64: 502BE6262CC8F5A1  Time : 371.616 sec.
29025*2^676030-1 is not prime.  LLR Res64: AB5212DBA497AC6C  Time : 366.676 sec.
11961*2^676031-1 is not prime.  LLR Res64: 66E5B05DA453374A  Time : 287.973 sec.
14895*2^676031-1 is not prime.  LLR Res64: A3598D9E140DF3BD  Time : 313.119 sec.
17295*2^676031-1 is not prime.  LLR Res64: F07C3333F38C7C7D  Time : 322.347 sec.
21525*2^676031-1 is not prime.  LLR Res64: 9C4EF88AA077647B  Time : 373.787 sec.
28215*2^676031-1 is not prime.  LLR Res64: 2D1D58167850F3E6  Time : 367.032 sec.
18525*2^676032-1 is not prime.  LLR Res64: B0AEAE753C6E68BA  Time : 288.078 sec.
23805*2^676032-1 is not prime.  LLR Res64: 4410506CBF261904  Time : 367.138 sec.
23985*2^676032-1 is not prime.  LLR Res64: CEF017A15EB9CB0E  Time : 374.698 sec.
28665*2^676032-1 is not prime.  LLR Res64: A9C784948E0CE3BC  Time : 335.189 sec.
29025*2^676032-1 is not prime.  LLR Res64: C9D792C9AF1B6405  Time : 359.088 sec.
19635*2^676033-1 is not prime.  LLR Res64: 57A62AB2F6041E71  Time : 369.280 sec.
20145*2^676033-1 is not prime.  LLR Res64: E8C5E9C0306C7C95  Time : 364.050 sec.
23805*2^676033-1 is not prime.  LLR Res64: D990A371495886F3  Time : 361.189 sec.
28215*2^676033-1 is not prime.  LLR Res64: DA8CC686F0134654  Time : 362.237 sec.
11961*2^676034-1 is not prime.  LLR Res64: 6B63D3C3405793C8  Time : 300.615 sec.
13845*2^676034-1 is not prime.  LLR Res64: DC609E716D9571CB  Time : 302.335 sec.
17295*2^676034-1 is not prime.  LLR Res64: 43FC0657CE1BD735  Time : 307.604 sec.
18975*2^676034-1 is not prime.  LLR Res64: 0CF6B1965603B2A8  Time : 306.900 sec.
21825*2^676034-1 is not prime.  LLR Res64: 1D17DD48888BA15B  Time : 362.579 sec.
21885*2^676034-1 is not prime.  LLR Res64: 6BE6B69B4DEEDEF0  Time : 360.465 sec.
11655*2^676035-1 is not prime.  LLR Res64: 888C046B1462CEBC  Time : 299.684 sec.
13845*2^676035-1 is not prime.  LLR Res64: 8522543E111124CE  Time : 298.066 sec.
18525*2^676035-1 is not prime.  LLR Res64: 5F795712BA66CC64  Time : 308.067 sec.
21285*2^676035-1 is not prime.  LLR Res64: F15BC5F1E45CEE68  Time : 360.986 sec.
27615*2^676035-1 is not prime.  LLR Res64: 64DE005FF6D2EFF2  Time : 361.330 sec.
29925*2^676035-1 is not prime.  LLR Res64: E6F5943CD4B7B94E  Time : 364.028 sec.
13845*2^676036-1 is not prime.  LLR Res64: 8C7AB570AEB49FD9  Time : 299.565 sec.
21825*2^676036-1 is not prime.  LLR Res64: 31FCE6389D86B1EA  Time : 357.201 sec.
21885*2^676036-1 is not prime.  LLR Res64: FCBB464524D73AFC  Time : 372.796 sec.
15645*2^676037-1 is not prime.  LLR Res64: 4946D57A4F238A3C  Time : 304.378 sec.
16485*2^676037-1 is not prime.  LLR Res64: AF805EBB10B045CD  Time : 308.355 sec.
16665*2^676037-1 is not prime.  LLR Res64: 19565047ED0AA5A2  Time : 308.185 sec.
16887*2^676037-1 is not prime.  LLR Res64: 7023AE39F5B9AFF6  Time : 322.245 sec.
19635*2^676037-1 is not prime.  LLR Res64: 4BA40B13D357C90F  Time : 371.599 sec.
25905*2^676037-1 is not prime.  LLR Res64: 1DDFA1F4EAF99AA9  Time : 371.378 sec.
19635*2^676038-1 is not prime.  LLR Res64: B4946E0E69C62EF1  Time : 376.161 sec.
21825*2^676038-1 is not prime.  LLR Res64: 148CA24DD0A1937D  Time : 378.169 sec.
27615*2^676038-1 is not prime.  LLR Res64: E9753EF23AC4429A  Time : 374.945 sec.
11655*2^676039-1 is not prime.  LLR Res64: 1AEA25291A261E1B  Time : 307.548 sec.
14895*2^676039-1 is not prime.  LLR Res64: 2C0F580074B1A938  Time : 308.266 sec.
16485*2^676039-1 is not prime.  LLR Res64: 894314E36D3EAA82  Time : 312.142 sec.
16665*2^676039-1 is not prime.  LLR Res64: 142F50BAE76EC62C  Time : 307.608 sec.
21525*2^676039-1 is not prime.  LLR Res64: BDDA8295BE9B40E2  Time : 364.898 sec.
25905*2^676039-1 is not prime.  LLR Res64: 8F72ABEF41BFA9E3  Time : 335.745 sec.
28605*2^676039-1 is not prime.  LLR Res64: F81634E939EE12EA  Time : 333.788 sec.
