27615*2^20028-1 is not prime.  LLR Res64: 5CE4E4759330C1D5  Time : 380.683 ms.
28605*2^20028-1 is not prime.  LLR Res64: DC6D5AB9F3F9FDB7  Time : 387.137 ms.
28635*2^20028-1 is not prime.  LLR Res64: FF4E55CBE52B1317  Time : 386.925 ms.
29025*2^20028-1 is not prime.  LLR Res64: 46387F24FF944D12  Time : 381.252 ms.
15645*2^20029-1 is not prime.  LLR Res64: E2095E8BB61F7E2A  Time : 380.703 ms.
17295*2^20029-1 is not prime.  LLR Res64: 5427641164CBDF48  Time : 402.988 ms.
20145*2^20029-1 is not prime.  LLR Res64: 11422F78B387C52F  Time : 405.252 ms.
22701*2^20029-1 is not prime.  LLR Res64: 82182772A9D273A2  Time : 403.820 ms.
29025*2^20029-1 is not prime.  LLR Res64: 443725802470B58F  Time : 405.706 ms.
29685*2^20029-1 is not prime.  LLR Res64: 7FD6BFCDCABC53FF  Time : 385.941 ms.
22701*2^20030-1 is not prime.  LLR Res64: 61F123A9187E2795  Time : 404.514 ms.
29445*2^20030-1 is not prime.  LLR Res64: EA57D40BA892037B  Time : 389.102 ms.
29685*2^20030-1 is not prime.  LLR Res64: 8ECEFE68E9C85A6B  Time : 387.667 ms.
20145*2^20031-1 is not prime.  LLR Res64: BB1F6A482C8F80C0  Time : 384.364 ms.
20625*2^20031-1 is not prime.  LLR Res64: D675C0D96D3EB575  Time : 382.623 ms.
26829*2^20031-1 is not prime.  LLR Res64: F0EF3331A0FE15D5  Time : 389.044 ms.
16887*2^20032-1 is not prime.  LLR Res64: 99BA4A5EE3AAF6BB  Time : 384.771 ms.
29685*2^20032-1 is not prime.  LLR Res64: 8CF9C114E27DB67F  Time : 390.204 ms.
20625*2^20033-1 is not prime.  LLR Res64: 8A6C24ECDAF4F1D6  Time : 385.169 ms.
21525*2^20033-1 is not prime.  LLR Res64: 4CEF3F072EA4652C  Time : 402.945 ms.
21885*2^20033-1 is not prime.  LLR Res64: 5EA3965C945E4B55  Time : 374.861 ms.
22701*2^20033-1 is not prime.  LLR Res64: 182FC46C37D5F4D4  Time : 387.600 ms.
29445*2^20033-1 is not prime.  LLR Res64: 0F41F3B19E79B8F1  Time : 385.763 ms.
25077*2^20034-1 is not prime.  LLR Res64: CB64326D8D86409A  Time : 381.896 ms.
29025*2^20034-1 is not prime.  LLR Res64: BBB73C03C954CDFF  Time : 377.693 ms.
