22365*2^40032-1 is not prime.  LLR Res64: 05E4371527916539  Time : 1.471 sec.
25077*2^40032-1 is not prime.  LLR Res64: E4F428B4B8653477  Time : 1.470 sec.
21885*2^40033-1 is not prime.  LLR Res64: 47A311E05C456F1F  Time : 1.471 sec.
22701*2^40033-1 is not prime.  LLR Res64: 78CDBEEBF82F640C  Time : 1.458 sec.
23805*2^40033-1 is not prime.  LLR Res64: 0D962C11D61EED7B  Time : 1.478 sec.
25077*2^40033-1 is not prime.  LLR Res64: 18329C9BBB51B537  Time : 1.540 sec.
16665*2^40034-1 is not prime.  LLR Res64: 183B4183FF417BCA  Time : 1.469 sec.
22095*2^40034-1 is not prime.  LLR Res64: C1CACE451D7F0687  Time : 1.462 sec.
29925*2^40034-1 is not prime.  LLR Res64: A4C9503ED560DC69  Time : 1.468 sec.
29685*2^40035-1 is not prime.  LLR Res64: 1DB90ADFA0A5F260  Time : 1.465 sec.
15645*2^40036-1 is not prime.  LLR Res64: 50A470CBC752F5B5  Time : 1.465 sec.
15645*2^40037-1 is not prime.  LLR Res64: 68EFDB2F64B11688  Time : 1.467 sec.
21525*2^40037-1 is not prime.  LLR Res64: A7E60984025E599D  Time : 1.467 sec.
22365*2^40037-1 is not prime.  LLR Res64: D2C7C87BAA54B903  Time : 1.467 sec.
22785*2^40037-1 is not prime.  LLR Res64: DB614C73EE709D82  Time : 1.476 sec.
28215*2^40037-1 is not prime.  LLR Res64: 786DE63A1210BFCD  Time : 1.468 sec.
21285*2^40038-1 is not prime.  LLR Res64: D50520DC63C7F239  Time : 1.466 sec.
28635*2^40038-1 is not prime.  LLR Res64: 29F83A72DFE4A318  Time : 1.457 sec.
20145*2^40039-1 is not prime.  LLR Res64: 55A58456F5DC805B  Time : 1.465 sec.
23295*2^40039-1 is not prime.  LLR Res64: BF82157FCD2FCDED  Time : 1.466 sec.
25905*2^40039-1 is not prime.  LLR Res64: 8603C08FAB2DDD4F  Time : 1.466 sec.
29025*2^40039-1 is not prime.  LLR Res64: 3A06DEBC089C3411  Time : 1.467 sec.
16887*2^40040-1 is not prime.  LLR Res64: 8A8171A6F2141FBA  Time : 1.465 sec.
23295*2^40040-1 is not prime.  LLR Res64: 8E32ECFCBC0B6BBE  Time : 1.469 sec.
28665*2^40040-1 is not prime.  LLR Res64: 1B321066D73B6E5D  Time : 1.473 sec.
16665*2^40041-1 is not prime.  LLR Res64: BBE2D01BE59EC83B  Time : 1.476 sec.
17295*2^40041-1 is not prime.  LLR Res64: 145BB770DE6F82D6  Time : 1.456 sec.
21285*2^40041-1 is not prime.  LLR Res64: E418365AD14D1EE4  Time : 1.466 sec.
22701*2^40041-1 is not prime.  LLR Res64: 84135EBBF4373F84  Time : 1.468 sec.
28605*2^40041-1 is not prime.  LLR Res64: 0C383D3334E9E537  Time : 1.467 sec.
